customerName,recency,frequency,monetary,totalSalesAmount,totalProfit,cluster,segment
SIMPLY PERFECT LTD,62,45,1612707.02,1612707.02,193572.56999999998,0,Potential Loyalists
SOMAK TRAVEL LIMITED,85,82,1542155.17,1542155.17,688065.31,0,Potential Loyalists
TYRE WORKS LTD,14,86,1513749.96,1513749.96,431092.01,3,Loyal Customers
BLESSINGS PARCELS SERVICES CO.LTD,1,103,1512801.68,1512801.68,390453.02,3,Loyal Customers
VINTAGE AFRICA LIMITED T/A SENSE OF AFRICA,21,96,1472862.02,1472862.02,843112.36,3,Loyal Customers
DESSRA VENTURE LIMITED,35,113,1459232.75,1459232.75,365030.93,3,Loyal Customers
TRUCKHUB AUTO SOLUTIONS LIMITED,33,34,1421939.66,1421939.66,243145.25,3,Loyal Customers
MITCHELL COTTS FREIGHT KENYA LTD,9,12,1401724.43,1401724.43,433117.72,5,Promising
AKV AUTO PLATINUM LTD,14,81,1381896.56,1381896.56,341885.74,3,Loyal Customers
MARKET SERVICE STATION LIMITED-MARKET CAR HIRE,5,163,1364655.23,1364655.23,397417.26,3,Loyal Customers
AMIRAN KENYA LTD,19,282,1361905.01,1361905.01,417126.71,3,Loyal Customers
KARSAN RAMJI AND SONS LTD,321,16,1338155.17,1338155.17,549742.97,0,Potential Loyalists
TIMSALES LTD,160,36,1310517.3399999999,1310517.3399999999,360933.07,0,Potential Loyalists
TATA CHEMICALS MAGADI LIMITED,191,6,1271551.7,1271551.7,328213.49,0,Potential Loyalists
TYREX KENYA ENTERPRISE LIMITED,46,63,1264525.8599999999,1264525.8599999999,261900.61,3,Loyal Customers
SUNWORLD SAFARIS LTD,5,54,1260061.52,1260061.52,-127134.86999999998,3,Loyal Customers
ALLIAD LOGISTICS LIMITED,209,8,1253663.73,1253663.73,405763.57,0,Potential Loyalists
SUPER SPORT TYRES,62,57,1247586.23,1247586.23,265667.25,0,Potential Loyalists
EXPRESS GARAGE LIMITED,31,84,1222299.16,1222299.16,358889.04000000004,3,Loyal Customers
RELIABLE TYRES KE,26,65,1221698.58,1221698.58,265188.6,3,Loyal Customers
INTERSPAR,19,11,1220344.83,1220344.83,403238.24,5,Promising
NYANZA SUGAR AND PRODUCE LIMITED,118,48,1157758.6199999999,1157758.6199999999,162523.21,0,Potential Loyalists
ROADCHASE AUTO TYRES LTD,96,36,1147112.06,1147112.06,288554.43,0,Potential Loyalists
EASTERN PRODUCE KENYA LIMITED,13,101,1146698.44,1146698.44,199419.13999999998,3,Loyal Customers
BOB MORGAN SERVICES LIMITED,41,188,1137885.34,1137885.34,450752.84,3,Loyal Customers
QUICK MART LIMITED,15,72,1131206.83,1131206.83,288377.7,3,Loyal Customers
RSA KENYA LTD,43,83,1102327.66,1102327.66,861729.42,3,Loyal Customers
G4S SECURITY SERVICES (K) LTD,8,145,1094189.64,1094189.64,297147.6,3,Loyal Customers
OLINE RETREAD LTD.,120,30,1091120.65,1091120.65,270193.21,0,Potential Loyalists
ELGON KENYA LIMITED,5,69,1084305.92,1084305.92,254748.28,3,Loyal Customers
BHACHU INDUSTRIES LTD,331,30,1078965.59,1078965.59,-30510.94000000001,0,Potential Loyalists
TREADSETTERS TYRES LIMITED,9,56,1066508.61,1066508.61,539690.34,3,Loyal Customers
FURAHA SERVICE STATION,12,135,1022086.26,1022086.26,248187.66999999998,3,Loyal Customers
NZIKO AUTO TYRES LTD,167,44,1008060.35,1008060.35,141643.48,0,Potential Loyalists
POLLMAN'S TOURS AND SAFARIS LTD,186,30,996281.6,996281.6,284651.07,0,Potential Loyalists
NICE SUPERMARKET LIMITED,330,24,985732.86,985732.86,35893.299999999996,0,Potential Loyalists
CMC MOTORS GROUP LTD,215,5,949068.96,949068.96,327566.64,0,Potential Loyalists
BRIJOSE TYRE MART LIMITED,126,59,948836.15,948836.15,127839.39,0,Potential Loyalists
TYRELINK AUTO LIMITED,167,43,944482.74,944482.74,245143.78,0,Potential Loyalists
CFAO MOTORS KENYA LIMITED,76,51,922370.68,922370.68,451126.52,0,Potential Loyalists
ROHI AUTO TYRES,13,86,916178.04,916178.04,204080.16,3,Loyal Customers
EXCEL CHEMICALS LTD,34,67,913793.04,913793.04,183120.92,3,Loyal Customers
MACLAREN AUTO SPARES,1,43,891284.5,891284.5,255974.15,3,Loyal Customers
TYREMASTERS LTD,25,25,889956.9,889956.9,239740.62,5,Promising
ALJAZEERA AUTO TYRES LTD,2,24,887844.8,887844.8,211261.69,3,Loyal Customers
JESSICA BROWN COLLECTIONS,9,51,875820.6699999999,875820.6699999999,151830.05,3,Loyal Customers
NDUGU TRANSPORT COMPANY LTD - USD,313,5,864830.72,864830.72,18986.36,0,Potential Loyalists
DELUX AUTO TYRE LTD,19,35,860027.99,860027.99,243907.03,3,Loyal Customers
LAKE TURKANA WIND POWER,177,14,853836.22,853836.22,399729.92,0,Potential Loyalists
BEAM TYRES AND SPARES LIMITED,85,36,853102.59,853102.59,162034.56,0,Potential Loyalists
ROAD RUNNER RETREAD AND TYRE CENTRE LIMITED,5,57,851465.52,851465.52,220346.12,3,Loyal Customers
MINERAL ENTERPRISES LTD,23,30,826896.49,826896.49,201556.16999999998,5,Promising
SAISEM TRADERS LIMITED,191,15,804310.33,804310.33,186664.53,0,Potential Loyalists
KIAMBAA DAIRY FARMERS COOPERATIVE SOCIETY LTD,54,75,803989.0,803989.0,232316.63,3,Loyal Customers
KIPKELION CORNER LTD.,110,16,798706.9099999999,798706.9099999999,163287.04,0,Potential Loyalists
KENYA BUILDERS & CONCRETE COMPANY LTD,69,10,777931.03,777931.03,93232.68,0,Potential Loyalists
CROWN MOTORS GROUP LIMITED,47,191,777500.0900000001,777500.0900000001,815876.21,3,Loyal Customers
BEPCO PARTS (K) LTD,155,8,758577.5700000001,758577.5700000001,140419.07,0,Potential Loyalists
JAFALY TRADING,134,33,757109.13,757109.13,92334.12,0,Potential Loyalists
NEWSPAPER TRANSPORTERS LIMITED,58,62,756422.42,756422.42,158359.36,0,Potential Loyalists
MAGUTA EXCELL CO. LTD,92,53,749028.53,749028.53,148418.39,0,Potential Loyalists
KENCHIC LTD,76,29,746156.86,746156.86,137114.4,0,Potential Loyalists
JACARANDA MOTORS LTD,25,43,743793.11,743793.11,212288.63,3,Loyal Customers
TEEMAL AUTO LIMITED,5,139,742120.71,742120.71,530344.74,3,Loyal Customers
SUMMER AFRICA LTD,8,64,738232.78,738232.78,183826.12,3,Loyal Customers
ABDI MOTORS LTD,93,22,735646.49,735646.49,123725.53,0,Potential Loyalists
INTRASPAREX GLOBAL LIMITED,208,12,734913.75,734913.75,212646.14,0,Potential Loyalists
KOBIL KUTUS SERVICE STATION,27,57,728166.8200000001,728166.8200000001,156103.33000000002,3,Loyal Customers
AFRICAN HORIZON,289,1,724138.0,724138.0,254425.6,4,At Risk
KIKI INVESTMENTS LIMITED,9,64,715780.6,715780.6,246041.75,3,Loyal Customers
UNICORN RENT A CAR LIMITED,2,98,706853.51,706853.51,231464.4,3,Loyal Customers
ASHNIL HOTELS LIMITED,33,8,691724.15,691724.15,215649.94000000003,5,Promising
EXECUTIVE RENTALS LTD,49,77,687043.1,687043.1,168832.65,3,Loyal Customers
MINJA TYRES & AUTOMART LTD,167,33,676842.67,676842.67,230357.96000000002,0,Potential Loyalists
CLEANSHELF SUPERMARKETS LIMITED,32,59,672370.65,672370.65,142322.12,3,Loyal Customers
KAYDEE (QUARRY) LTD,167,11,669976.29,669976.29,357747.51,0,Potential Loyalists
AUTO ARENA LTD,4,88,667544.93,667544.93,199112.43,3,Loyal Customers
SAI UNIVERSAL SUPPLIES LTD,5,6,664086.21,664086.21,128260.83,5,Promising
HUSAINI GENERAL MERCHANTS,47,14,645387.89,645387.89,136797.00999999998,5,Promising
BRAEBURN SCHOOL  LTD,55,60,636120.65,636120.65,161669.89,0,Potential Loyalists
ELNATHAN HOLDINGS LIMITED,78,79,634827.58,634827.58,172595.71,0,Potential Loyalists
KENYA PORTS AUTHORITY,21,75,616728.73,616728.73,57849.81000000007,3,Loyal Customers
MULTIPLE  HAULIERS E.A LTD,58,19,612344.8500000001,612344.8500000001,132683.94,0,Potential Loyalists
AEXCEL AUTOSPARES LTD,43,49,600000.08,600000.08,160460.13,3,Loyal Customers
RIVERA AUTO TYRES LIMITED,13,56,581206.96,581206.96,151079.56,3,Loyal Customers
SILVERSTONE RETAIL,9,121,568959.4,568959.4,66566.34999999999,3,Loyal Customers
SHIVAM EAST ENTERPRISES LIMITED,34,28,568810.35,568810.35,88095.02,5,Promising
COMPLY INDUSTRIES LTD,321,7,560344.8400000001,560344.8400000001,194802.3,0,Potential Loyalists
AUTODRIVE TYRES LIMITED,30,14,559758.6299999999,559758.6299999999,166630.69000000003,5,Promising
AVENUE CAR HIRE AND LEASING LTD,16,42,555862.09,555862.09,177605.92,3,Loyal Customers
NEWBOLD GARAGE LIMITED,76,29,548193.62,548193.62,145995.04,0,Potential Loyalists
ROCK PLANT (K) LTD,124,21,544267.2999999999,544267.2999999999,161716.80000000002,0,Potential Loyalists
MOMBASA CEMENT LIMITED,182,2,524137.92,524137.92,131983.75,4,At Risk
TUDOR TYRES & BATTERIES LTD,92,39,508965.5,508965.5,86218.05,0,Potential Loyalists
SIR HENRY AUTO TYRES LTD,104,30,506369.0,506369.0,107627.43,0,Potential Loyalists
KELGARG RETREAD LTD,5,63,505258.60000000003,505258.60000000003,91603.24,3,Loyal Customers
AGL KENYA LIMITED,86,9,498362.04000000004,498362.04000000004,127266.97000000002,0,Potential Loyalists
THE WRIGLEY CO. (E.A) LTD,57,59,496896.56,496896.56,127887.89,0,Potential Loyalists
MTN SACCO LTD,33,16,495689.72,495689.72,80956.5,5,Promising
DIRECT TYRES LIMITED,53,23,485991.38,485991.38,112958.27000000002,0,Potential Loyalists
D-BASS AUTO LTD,91,52,485090.1,485090.1,333934.65,0,Potential Loyalists
ROAD STAR AUTO TYRES,84,21,483603.41000000003,483603.41000000003,94655.68,0,Potential Loyalists
ERI SUPPLIES LTD,211,25,474224.14,474224.14,31258.16,0,Potential Loyalists
XCEPTIONS TYRE CENTRE LIMITED,34,13,472132.76,472132.76,129256.48,5,Promising
CHLORIDE EXIDE KENYA LTD,173,24,469137.95,469137.95,134954.97,0,Potential Loyalists
HASBAH KENYA LIMITED,153,63,466939.68,466939.68,194912.13,0,Potential Loyalists
SHREE SANTRAM AUTO PARTS,26,41,448620.67,448620.67,91212.78,5,Promising
DISCOUNT TYRES INV. LTD(RONGAI),11,21,448207.93,448207.93,126231.69,5,Promising
KARA COMMODITIES LTD,117,11,446206.88,446206.88,70869.66,0,Potential Loyalists
KASSAM (SALES) LTD,34,14,434482.77,434482.77,111563.84,5,Promising
KRSNA UNIVERSAL SUPPLIES LTD,11,26,427865.52,427865.52,122114.38,5,Promising
SAVCO STORES LIMITED,57,12,424310.38,424310.38,58142.409999999996,0,Potential Loyalists
ZENKO KENYA LIMITED,28,11,414999.98,414999.98,119895.75,5,Promising
TECHNO-PLAST LIMITED,133,23,414137.92,414137.92,112009.89,0,Potential Loyalists
CHANIA GENESIS - FREDRICK MWENDA NDURUHU,5,16,413060.35,413060.35,118896.0,5,Promising
TWIGA CAR HIRE AND TOURS LTD,314,15,411327.52,411327.52,101182.82,0,Potential Loyalists
KAREN HUDUMA LTD,184,24,406465.51,406465.51,111348.33,0,Potential Loyalists
INTERNATIONAL COMMITTEE OF THE RED CROSS(ICRC),35,54,394827.56,394827.56,1096560.35,3,Loyal Customers
CHAMBAI TYRES,35,25,392424.56000000006,392424.56000000006,226772.88,5,Promising
 MARA BUSH CAMP LIMITED,49,5,387844.82,387844.82,66956.83,5,Promising
MELVIN MARSH INTERNATIONAL LTD,39,54,384396.54,384396.54,62318.41,3,Loyal Customers
HUIUSQUE LOGISTICS LIMITED,53,54,383017.23,383017.23,110253.39,0,Potential Loyalists
IN MOTION REGIONAL LOGISTICS LIMITED,128,14,382758.66000000003,382758.66000000003,63878.95,0,Potential Loyalists
WIRE PRODUCTS LIMITED,28,34,377499.99,377499.99,43187.23,5,Promising
MEGNET MOTORS (K) LIMITED,18,29,374181.04,374181.04,156820.38999999998,5,Promising
SIAKA AUTO TYRES,36,36,368879.32,368879.32,93441.87,5,Promising
BUDGET DRIVING SCHOOL,29,35,367586.26,367586.26,158068.78,5,Promising
SALVADOR CAETANO (K) LIMITED,37,38,366853.44,366853.44,202175.91,5,Promising
VICWORLD TYRES LIMITED,5,23,362255.17,362255.17,84605.0,5,Promising
MOTORHUB SERVICE CENTER,48,20,360086.20999999996,360086.20999999996,117227.79,5,Promising
PIONEER FEEDS LTD,29,36,357931.04000000004,357931.04000000004,92294.4,5,Promising
INSTA PRODUCTS EPZ LIMITED,352,16,347586.24,347586.24,133390.52,0,Potential Loyalists
CHANIA GENESIS -KINYANJUI JOEL NDURUHU,26,25,342413.8,342413.8,113999.16,5,Promising
KENYA AIRWAYS PLC,225,17,338448.28,338448.28,117843.95000000001,0,Potential Loyalists
WELLS FARGO LIMITED,48,42,335172.4,335172.4,89412.75,0,Potential Loyalists
SCHENKER LIMITED,112,35,331465.47,331465.47,68546.8,0,Potential Loyalists
TRINITY ACE LOGISTICS LIMITED,119,7,331034.52,331034.52,69570.78,0,Potential Loyalists
AUTOMETRIX LIMITED,95,43,318836.20999999996,318836.20999999996,171807.66,0,Potential Loyalists
JAPAN INTERNATIONAL COOPERATION AGENCY,36,19,317344.83999999997,317344.83999999997,25177.499999999993,5,Promising
BANTARAM & COMPANY LIMITED,230,6,314763.94,314763.94,132189.95,4,At Risk
AUTO EXPRESS LTD,42,2,314677.58999999997,314677.58999999997,49476.740000000005,5,Promising
GULF PREMIX LIMITED,314,16,310948.23000000004,310948.23000000004,412726.29,0,Potential Loyalists
MULJI DEVRAJ& BROTHER LIMITED,218,9,309396.55000000005,309396.55000000005,69901.86,0,Potential Loyalists
DEBRA LIMITED,12,16,299913.8,299913.8,40127.28,5,Promising
ULTIMATE SECURITY LIMITED,9,32,298318.94,298318.94,88529.68,5,Promising
SILVERSTONE TYRES (K) LTD,4,140,290675.01,290675.01,-10763.29,3,Loyal Customers
BIO FOOD PRODUCTS LIMITED,55,17,288793.49,288793.49,54356.57,5,Promising
BOB MORGAN SYSTEMS LTD - BM SYSTEMS LTD,35,73,288275.89,288275.89,125412.40000000001,3,Loyal Customers
KENATRA TRANSPORTERS LTD,162,13,287586.24,287586.24,37468.64,0,Potential Loyalists
KERICHO MOTOR SPARES & HARDWARE LTD,29,7,283965.52,283965.52,28703.45,5,Promising
RONITEX TYRE SERVICES LTD,13,18,282262.91,282262.91,139340.59,5,Promising
IFSS LIMITED,117,20,275302.68,275302.68,50231.06999999999,0,Potential Loyalists
SHREE AMBICA AUTO PARTS,156,14,270862.07,270862.07,60201.770000000004,0,Potential Loyalists
KONGONI RIVER FARM LTD,48,2,268965.52,268965.52,59053.42999999999,5,Promising
GARDAWORLD SERVICES (KENYA) LIMITED,22,28,268275.87,268275.87,102145.53,5,Promising
RAI CEMENT LIMITED,77,8,266206.89999999997,266206.89999999997,125701.60999999999,0,Potential Loyalists
SPINNERS & SPINNERS  LTD,166,24,263706.89,263706.89,97778.53,0,Potential Loyalists
NAIROBI MECHANICAL ENGINEERS LIMITED,29,16,261845.84,261845.84,35873.59,5,Promising
EUROPA INFRASTRUCTURE TECHNOLOGIES (E.A) LTD,37,18,259413.81,259413.81,66617.40999999999,5,Promising
ORIEL LTD,60,24,258405.18,258405.18,156853.24000000002,0,Potential Loyalists
HARGEYSA AUTO SPARES,300,20,257384.49,257384.49,28616.75,0,Potential Loyalists
ADENZO COMFIES LIMITED,337,4,255775.86,255775.86,102380.1,4,At Risk
AQUAMIST WATER LTD,126,17,254814.65,254814.65,81727.65,0,Potential Loyalists
SAPHIRE TRADING & MARKETING LTD,147,16,253275.85,253275.85,103573.53,0,Potential Loyalists
EXPRESS AUTOMART LIMITED,44,41,250991.38,250991.38,68436.47,5,Promising
VIVO ENERGY KENYA LIMITED,105,13,243965.51,243965.51,87093.29,0,Potential Loyalists
ANGATA SUGAR MILLS LTD,37,6,240344.82,240344.82,94480.0,5,Promising
MUSTRAL GENERAL TRADERS LIMITED,182,13,239827.59000000003,239827.59000000003,24277.200000000004,0,Potential Loyalists
MUSIARA LIMITED,281,10,238620.66,238620.66,78952.44,0,Potential Loyalists
BETA HEALTHCARE,64,83,238233.14,238233.14,81686.64,0,Potential Loyalists
KUKENA SACCO SOCIETY LTD,18,4,237069.0,237069.0,34117.07,5,Promising
TECHPAK INDUSTRIES LTD,127,34,234965.51,234965.51,56133.24,0,Potential Loyalists
KUBER AGENCIES LIMITED,189,11,232758.6,232758.6,72744.03,0,Potential Loyalists
ACHELIS MATERIAL HANDLING,97,22,229094.86000000002,229094.86000000002,61093.330000000016,0,Potential Loyalists
ASL LIMITED - TRADING DIVISION,173,6,228103.46,228103.46,76387.75,4,At Risk
WINNIE'S PURE HEALTH PRODUCTS LTD,124,22,225088.08,225088.08,132771.1,0,Potential Loyalists
A.T. GLASS LIMITED,15,15,223534.49,223534.49,67491.83,5,Promising
NGATI AUTO TYRES,315,7,220131.0,220131.0,24845.12,4,At Risk
BAKEMARK LIMITED,265,4,210689.66,210689.66,43943.15,4,At Risk
RED LINE AUTO AND TIRE CENTRE LIMITED,64,11,210603.44,210603.44,59097.74,5,Promising
BOBMIL INDUSTRIES LIMITED,62,28,208189.62,208189.62,42453.67,0,Potential Loyalists
SLATER & WHITTAKER LTD,71,25,207922.42,207922.42,52258.0,0,Potential Loyalists
POOLSHOP EA LIMITED,69,13,207543.1,207543.1,64742.67,0,Potential Loyalists
USIJALI REPAIRS LIMITED,33,26,204612.07,204612.07,64621.55,5,Promising
KENYA RED CROSS SOCIETY,148,4,204094.84999999998,204094.84999999998,191405.25,4,At Risk
CROWN TOURS AND CAR HIRE LIMITED,78,17,203448.26,203448.26,69652.08,0,Potential Loyalists
EXACT MARKETING SERVICES LTD,12,36,202144.4,202144.4,40081.59,5,Promising
BOLT UP GARAGE LTD.,36,23,199956.86,199956.86,62046.64,5,Promising
HIGHRIDE AUTO TYRES LTD,109,12,199801.74,199801.74,39389.51,0,Potential Loyalists
KIGORI AUTO TYRES,25,8,199323.26,199323.26,46875.81,5,Promising
EMBASSY OF FINLAND,231,6,192759.63999999998,192759.63999999998,66345.61,4,At Risk
MAINLAND AUTO TYRES,301,4,186379.31,186379.31,166350.35,4,At Risk
AUTONOVA LIMITED,28,24,183478.45,183478.45,69705.93,5,Promising
SAI RAJ LTD,42,6,179827.59,179827.59,42985.25,5,Promising
JAMES & MICHAEL TYRES,57,7,178448.28999999998,178448.28999999998,26926.670000000002,5,Promising
IBERO KENYA LIMITED,30,11,175948.28,175948.28,55872.62000000001,5,Promising
SIMBA VEHICLE RENTAL,344,11,169655.21,169655.21,71289.63,4,At Risk
STEEL STRUCTURES LTD,30,12,167468.96,167468.96,62340.99,5,Promising
THE LAZIZI PREMIER LTD,218,7,166379.32,166379.32,34502.7,4,At Risk
